STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,ADVNUM,STARTDTG,ENDDTG
12,12051,Hendry,Hendry County,12051,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12095,Orange,Orange County,12095,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12055,Highlands,Highlands County,12055,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12093,Okeechobee,Okeechobee County,12093,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12027,DeSoto,DeSoto County,12027,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12043,Glades,Glades County,12043,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12081,Manatee,Manatee County,12081,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12087,Monroe,Monroe County,12087,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12071,Lee,Lee County,12071,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12105,Polk,Polk County,12105,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12021,Collier,Collier County,12021,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12115,Sarasota,Sarasota County,12115,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12097,Osceola,Osceola County,12097,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12049,Hardee,Hardee County,12049,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12009,Brevard,Brevard County,12009,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12061,Indian River,Indian River County,12061,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12057,Hillsborough,Hillsborough County,12057,64.0,AL092022,al,9.0,000,2022092218,2022100106
12,12015,Charlotte,Charlotte County,12015,64.0,AL092022,al,9.0,000,2022092218,2022100106
45,45089,Williamsburg,Williamsburg County,45089,64.0,AL092022,al,9.0,000,2022092218,2022100106
45,45015,Berkeley,Berkeley County,45015,64.0,AL092022,al,9.0,000,2022092218,2022100106
45,45041,Florence,Florence County,45041,64.0,AL092022,al,9.0,000,2022092218,2022100106
45,45067,Marion,Marion County,45067,64.0,AL092022,al,9.0,000,2022092218,2022100106
45,45019,Charleston,Charleston County,45019,64.0,AL092022,al,9.0,000,2022092218,2022100106
45,45051,Horry,Horry County,45051,64.0,AL092022,al,9.0,000,2022092218,2022100106
45,45043,Georgetown,Georgetown County,45043,64.0,AL092022,al,9.0,000,2022092218,2022100106
37,37153,Richmond,Richmond County,37153,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37125,Moore,Moore County,37125,34.0,AL092022,al,9.0,000,2022092218,2022100106
37,37123,Montgomery,Montgomery County,37123,34.0,AL092022,al,9.0,000,2022092218,2022100106
45,45033,Dillon,Dillon County,45033,64.0,AL092022,al,9.0,000,2022092218,2022100106
