Geographic Area,Households—Median income (dollars)—Estimate,Median income
"Taylor County, Wisconsin","61,360",61360
"Tazewell County, Illinois","74,606",74606
"Tazewell County, Virginia","46,508",46508
"Tehama County, California","59,029",59029
"Telfair County, Georgia","41,801",41801
"Teller County, Colorado","69,655",69655
"Tensas Parish, Louisiana","35,653",35653
"Terrebonne Parish, Louisiana","63,088",63088
"Terrell County, Georgia","43,507",43507
"Terrell County, Texas","52,813",52813
"Terry County, Texas","42,694",42694
"Teton County, Idaho","88,906",88906
"Teton County, Montana","65,224",65224
"Teton County, Wyoming","108,279",108279
"Texas County, Missouri","42,870",42870
"Texas County, Oklahoma","55,682",55682
"Thayer County, Nebraska","60,305",60305
"Thomas County, Georgia","55,958",55958
"Thomas County, Kansas","72,417",72417
"Thomas County, Nebraska","70,069",70069
"Throckmorton County, Texas","55,221",55221
"Thurston County, Nebraska","63,459",63459
"Thurston County, Washington","88,895",88895
"Tift County, Georgia","52,561",52561
"Tillamook County, Oregon","63,098",63098
"Tillman County, Oklahoma","46,306",46306
"Tioga County, New York","70,427",70427
"Tioga County, Pennsylvania","59,707",59707
"Tippah County, Mississippi","47,968",47968
"Tippecanoe County, Indiana","55,728",55728
"Tipton County, Indiana","71,947",71947
"Tipton County, Tennessee","70,674",70674
"Tishomingo County, Mississippi","45,545",45545
"Titus County, Texas","57,634",57634
"Toa Alta Municipio, Puerto Rico","32,456",32456
"Toa Baja Municipio, Puerto Rico","28,719",28719
"Todd County, Kentucky","57,891",57891
"Todd County, Minnesota","63,216",63216
"Todd County, South Dakota","33,792",33792
"Tom Green County, Texas","67,215",67215
"Tompkins County, New York","69,995",69995
"Tooele County, Utah","95,545",95545
"Toole County, Montana","54,040",54040
"Toombs County, Georgia","47,310",47310
"Torrance County, New Mexico","50,727",50727
"Towner County, North Dakota","61,250",61250
"Towns County, Georgia","55,574",55574
"Traill County, North Dakota","81,157",81157
"Transylvania County, North Carolina","62,056",62056
"Traverse County, Minnesota","63,456",63456
"Travis County, Texas","92,731",92731
"Treasure County, Montana","70,096",70096
"Trego County, Kansas","77,500",77500
"Trempealeau County, Wisconsin","68,474",68474
"Treutlen County, Georgia","38,641",38641
"Trigg County, Kentucky","55,864",55864
"Trimble County, Kentucky","66,492",66492
"Trinity County, California","47,317",47317
"Trinity County, Texas","51,165",51165
"Tripp County, South Dakota","56,758",56758
"Troup County, Georgia","53,599",53599
"Trousdale County, Tennessee","62,018",62018
"Trujillo Alto Municipio, Puerto Rico","35,821",35821
"Trumbull County, Ohio","53,537",53537
"Tucker County, West Virginia","54,053",54053
"Tulare County, California","64,474",64474
"Tulsa County, Oklahoma","65,229",65229
"Tunica County, Mississippi","41,676",41676
"Tuolumne County, California","70,432",70432
"Turner County, Georgia","39,666",39666
"Turner County, South Dakota","72,312",72312
"Tuscaloosa County, Alabama","61,645",61645
"Tuscarawas County, Ohio","61,953",61953
"Tuscola County, Michigan","59,815",59815
"Twiggs County, Georgia","50,446",50446
"Twin Falls County, Idaho","61,183",61183
"Tyler County, Texas","50,898",50898
"Tyler County, West Virginia","59,167",59167
"Tyrrell County, North Carolina","55,341",55341
"Uinta County, Wyoming","78,164",78164
"Uintah County, Utah","67,983",67983
"Ulster County, New York","77,197",77197
"Umatilla County, Oregon","70,322",70322
"Unicoi County, Tennessee","49,855",49855
"Union County, Arkansas","49,745",49745
"Union County, Florida","64,043",64043
"Union County, Georgia","59,783",59783
"Union County, Illinois","54,090",54090
"Union County, Indiana","68,514",68514
"Union County, Iowa","56,495",56495
"Union County, Kentucky","58,260",58260
"Union County, Mississippi","55,970",55970
"Union County, New Jersey","95,000",95000
"Union County, New Mexico","41,714",41714
"Union County, North Carolina","95,533",95533
"Union County, Ohio","104,496",104496
"Union County, Oregon","61,946",61946
"Union County, Pennsylvania","64,914",64914
"Union County, South Carolina","42,305",42305
"Union County, South Dakota","82,036",82036
"Union County, Tennessee","57,094",57094
"Union Parish, Louisiana","47,068",47068
"Upshur County, Texas","60,456",60456
"Upshur County, West Virginia","49,663",49663
"Upson County, Georgia","48,740",48740
"Upton County, Texas","55,284",55284
"Utah County, Utah","91,263",91263
"Utuado Municipio, Puerto Rico","17,164",17164
"Uvalde County, Texas","55,000",55000
"Val Verde County, Texas","57,250",57250
"Valencia County, New Mexico","56,246",56246
"Valley County, Idaho","72,878",72878
"Valley County, Montana","59,725",59725
"Valley County, Nebraska","62,321",62321
"Van Buren County, Arkansas","45,768",45768
"Van Buren County, Iowa","58,417",58417
"Van Buren County, Michigan","65,531",65531
"Van Buren County, Tennessee","44,730",44730
"Van Wert County, Ohio","64,841",64841
"Van Zandt County, Texas","62,334",62334
"Vance County, North Carolina","48,340",48340
"Vanderburgh County, Indiana","58,839",58839
"Vega Alta Municipio, Puerto Rico","24,778",24778
"Vega Baja Municipio, Puerto Rico","23,701",23701
"Venango County, Pennsylvania","59,278",59278
"Ventura County, California","102,141",102141
"Vermilion County, Illinois","52,787",52787
"Vermilion Parish, Louisiana","56,194",56194
"Vermillion County, Indiana","59,567",59567
"Vernon County, Missouri","53,318",53318
"Vernon County, Wisconsin","65,177",65177
"Vernon Parish, Louisiana","56,547",56547
"Victoria County, Texas","66,308",66308
"Vieques Municipio, Puerto Rico","17,062",17062
"Vigo County, Indiana","52,789",52789
"Vilas County, Wisconsin","63,726",63726
"Villalba Municipio, Puerto Rico","22,461",22461
"Vinton County, Ohio","50,967",50967
"Virginia Beach city, Virginia","87,544",87544
"Volusia County, Florida","63,075",63075
"Wabash County, Illinois","54,074",54074
"Wabash County, Indiana","66,194",66194
"Wabasha County, Minnesota","75,063",75063
"Wabaunsee County, Kansas","70,000",70000
"Wadena County, Minnesota","54,747",54747
"Wagoner County, Oklahoma","75,082",75082
"Wahkiakum County, Washington","59,167",59167
"Wake County, North Carolina","96,734",96734
"Wakulla County, Florida","72,035",72035
"Waldo County, Maine","62,694",62694
"Walker County, Alabama","52,987",52987
"Walker County, Georgia","52,276",52276
"Walker County, Texas","47,193",47193
"Walla Walla County, Washington","66,635",66635
"Wallace County, Kansas","57,708",57708
"Waller County, Texas","71,643",71643
"Wallowa County, Oregon","62,238",62238
"Walsh County, North Dakota","68,082",68082
"Walthall County, Mississippi","37,145",37145
"Walton County, Florida","74,832",74832
"Walton County, Georgia","79,425",79425
"Walworth County, South Dakota","57,697",57697
"Walworth County, Wisconsin","75,172",75172
"Wapello County, Iowa","56,209",56209
"Ward County, North Dakota","78,143",78143
"Ward County, Texas","70,771",70771
"Ware County, Georgia","44,138",44138
"Warren County, Georgia","45,091",45091
"Warren County, Illinois","62,700",62700
"Warren County, Indiana","72,833",72833
"Warren County, Iowa","89,741",89741
"Warren County, Kentucky","63,074",63074
"Warren County, Mississippi","54,117",54117
"Warren County, Missouri","75,531",75531
"Warren County, New Jersey","92,620",92620
"Warren County, New York","74,531",74531
"Warren County, North Carolina","42,282",42282
"Warren County, Ohio","103,128",103128
"Warren County, Pennsylvania","57,925",57925
"Warren County, Tennessee","52,948",52948
"Warren County, Virginia","79,313",79313
"Warrick County, Indiana","91,105",91105
"Wasatch County, Utah","104,855",104855
"Wasco County, Oregon","61,316",61316
"Waseca County, Minnesota","71,856",71856
"Washakie County, Wyoming","61,875",61875
"Washburn County, Wisconsin","58,504",58504
"Washington County, Alabama","51,184",51184
"Washington County, Arkansas","61,985",61985
"Washington County, Colorado","59,087",59087
"Washington County, Florida","47,536",47536
"Washington County, Georgia","43,810",43810
"Washington County, Idaho","50,046",50046
"Washington County, Illinois","75,111",75111
"Washington County, Indiana","60,695",60695
"Washington County, Iowa","71,122",71122
"Washington County, Kansas","59,432",59432
"Washington County, Kentucky","65,456",65456
"Washington County, Maine","51,669",51669
"Washington County, Maryland","73,017",73017
"Washington County, Minnesota","110,828",110828
"Washington County, Mississippi","38,394",38394
"Washington County, Missouri","49,364",49364
"Washington County, Nebraska","89,671",89671
"Washington County, New York","68,703",68703
"Washington County, North Carolina","38,927",38927
"Washington County, Ohio","59,053",59053
"Washington County, Oklahoma","59,426",59426
"Washington County, Oregon","100,121",100121
"Washington County, Pennsylvania","74,403",74403
"Washington County, Rhode Island","99,510",99510
"Washington County, Tennessee","58,507",58507
"Washington County, Texas","70,043",70043
"Washington County, Utah","71,976",71976
"Washington County, Vermont","77,278",77278
"Washington County, Virginia","59,116",59116
"Washington County, Wisconsin","91,915",91915
"Washington Parish, Louisiana","41,803",41803
"Washita County, Oklahoma","60,600",60600
"Washoe County, Nevada","81,531",81531
"Washtenaw County, Michigan","84,245",84245
"Watauga County, North Carolina","50,034",50034
"Watonwan County, Minnesota","65,197",65197
"Waukesha County, Wisconsin","101,639",101639
"Waupaca County, Wisconsin","69,198",69198
"Waushara County, Wisconsin","61,033",61033
"Wayne County, Georgia","49,847",49847
"Wayne County, Illinois","53,522",53522
"Wayne County, Indiana","54,854",54854
"Wayne County, Iowa","58,257",58257
"Wayne County, Kentucky","41,583",41583
"Wayne County, Michigan","57,223",57223
"Wayne County, Mississippi","34,875",34875
"Wayne County, Missouri","42,758",42758
"Wayne County, Nebraska","64,951",64951
"Wayne County, New York","71,007",71007
"Wayne County, North Carolina","54,323",54323
"Wayne County, Ohio","70,320",70320
"Wayne County, Pennsylvania","59,240",59240
"Wayne County, Tennessee","49,360",49360
"Wayne County, Utah","64,870",64870
"Wayne County, West Virginia","52,694",52694
"Waynesboro city, Virginia","52,519",52519
"Weakley County, Tennessee","47,769",47769
"Webb County, Texas","59,984",59984
"Weber County, Utah","82,291",82291
"Webster County, Georgia","35,000",35000
"Webster County, Iowa","65,335",65335
"Webster County, Kentucky","55,451",55451
"Webster County, Mississippi","55,657",55657
"Webster County, Missouri","65,103",65103
"Webster County, Nebraska","62,571",62571
"Webster County, West Virginia","43,409",43409
"Webster Parish, Louisiana","34,263",34263
"Weld County, Colorado","89,182",89182
"Wells County, Indiana","68,074",68074
"Wells County, North Dakota","59,732",59732
"West Baton Rouge Parish, Louisiana","80,510",80510
"West Carroll Parish, Louisiana","45,035",45035
"West Feliciana Parish, Louisiana","71,985",71985
"Westchester County, New York","114,651",114651
"Western Connecticut Planning Region, Connecticut","118,930",118930
"Westmoreland County, Pennsylvania","69,454",69454
"Westmoreland County, Virginia","56,647",56647
"Weston County, Wyoming","71,800",71800
"Wetzel County, West Virginia","50,715",50715
"Wexford County, Michigan","58,652",58652
"Wharton County, Texas","59,712",59712
"Whatcom County, Washington","77,581",77581
"Wheatland County, Montana","48,272",48272
"Wheeler County, Georgia","36,354",36354
"Wheeler County, Nebraska","59,167",59167
"Wheeler County, Oregon","50,774",50774
"Wheeler County, Texas","58,158",58158
"White County, Arkansas","51,144",51144
"White County, Georgia","66,256",66256
"White County, Illinois","54,605",54605
"White County, Indiana","65,345",65345
"White County, Tennessee","48,220",48220
"White Pine County, Nevada","71,297",71297
"Whiteside County, Illinois","62,828",62828
"Whitfield County, Georgia","59,659",59659
"Whitley County, Indiana","73,636",73636
"Whitley County, Kentucky","44,332",44332
"Whitman County, Washington","49,345",49345
"Wibaux County, Montana","58,750",58750
"Wichita County, Kansas","69,551",69551
"Wichita County, Texas","58,862",58862
"Wicomico County, Maryland","69,421",69421
"Wilbarger County, Texas","50,769",50769
"Wilcox County, Alabama","38,208",38208
"Wilcox County, Georgia","46,759",46759
"Wilkes County, Georgia","51,780",51780
"Wilkes County, North Carolina","49,119",49119
"Wilkin County, Minnesota","67,114",67114
"Wilkinson County, Georgia","40,757",40757
"Wilkinson County, Mississippi","34,928",34928
"Will County, Illinois","103,678",103678
"Willacy County, Texas","42,839",42839
"Williams County, North Dakota","86,139",86139
"Williams County, Ohio","60,632",60632
"Williamsburg city, Virginia","66,815",66815
"Williamsburg County, South Carolina","40,848",40848
"Williamson County, Illinois","60,325",60325
"Williamson County, Tennessee","125,943",125943
"Williamson County, Texas","102,851",102851
"Wilson County, Kansas","55,439",55439
"Wilson County, North Carolina","49,827",49827
"Wilson County, Tennessee","89,462",89462
"Wilson County, Texas","89,708",89708
"Winchester city, Virginia","62,495",62495
"Windham County, Vermont","65,473",65473
"Windsor County, Vermont","69,492",69492
"Winkler County, Texas","89,155",89155
"Winn Parish, Louisiana","44,922",44922
"Winnebago County, Illinois","61,738",61738
"Winnebago County, Iowa","62,853",62853
"Winnebago County, Wisconsin","70,041",70041
"Winneshiek County, Iowa","67,770",67770
"Winona County, Minnesota","66,162",66162
"Winston County, Alabama","49,494",49494
"Winston County, Mississippi","45,516",45516
"Wirt County, West Virginia","52,776",52776
"Wise County, Texas","85,385",85385
"Wise County, Virginia","47,541",47541
"Wolfe County, Kentucky","28,666",28666
"Wood County, Ohio","70,537",70537
"Wood County, Texas","61,748",61748
"Wood County, West Virginia","54,350",54350
"Wood County, Wisconsin","63,273",63273
"Woodbury County, Iowa","68,399",68399
"Woodford County, Illinois","80,093",80093
"Woodford County, Kentucky","78,295",78295
"Woodruff County, Arkansas","49,608",49608
"Woods County, Oklahoma","50,724",50724
"Woodson County, Kansas","50,670",50670
"Woodward County, Oklahoma","61,207",61207
"Worcester County, Maryland","76,689",76689
"Worcester County, Massachusetts","88,524",88524
"Worth County, Georgia","56,496",56496
"Worth County, Iowa","69,897",69897
"Worth County, Missouri","43,536",43536
"Wrangell City and Borough, Alaska","61,000",61000
"Wright County, Iowa","58,240",58240
"Wright County, Minnesota","102,980",102980
"Wright County, Missouri","43,573",43573
"Wyandot County, Ohio","68,552",68552
"Wyandotte County, Kansas","57,771",57771
"Wyoming County, New York","65,066",65066
"Wyoming County, Pennsylvania","67,968",67968
"Wyoming County, West Virginia","44,510",44510
"Wythe County, Virginia","53,921",53921
"Yabucoa Municipio, Puerto Rico","19,972",19972
"Yadkin County, North Carolina","57,486",57486
"Yakima County, Washington","64,910",64910
"Yakutat City and Borough, Alaska","76,875",76875
"Yalobusha County, Mississippi","47,006",47006
"Yamhill County, Oregon","80,125",80125
"Yancey County, North Carolina","53,103",53103
"Yankton County, South Dakota","68,847",68847
"Yates County, New York","63,974",63974
"Yauco Municipio, Puerto Rico","19,827",19827
"Yavapai County, Arizona","62,430",62430
"Yazoo County, Mississippi","41,867",41867
"Yell County, Arkansas","55,879",55879
"Yellow Medicine County, Minnesota","70,605",70605
"Yellowstone County, Montana","72,300",72300
"Yoakum County, Texas","80,317",80317
"Yolo County, California","85,097",85097
"York County, Maine","79,743",79743
"York County, Nebraska","72,914",72914
"York County, Pennsylvania","79,183",79183
"York County, South Carolina","80,158",80158
"York County, Virginia","105,154",105154
"Young County, Texas","65,565",65565
"Yuba County, California","66,693",66693
"Yukon-Koyukuk Census Area, Alaska","47,826",47826
"Yuma County, Arizona","56,439",56439
"Yuma County, Colorado","60,118",60118
"Zapata County, Texas","35,061",35061
"Zavala County, Texas","49,243",49243
"Ziebach County, South Dakota","46,023",46023
